	Fecha	Hora	Alimento	Calorias (kcal)	Carbohidratos (g)	Lipidos (g)	Proteinas (g)	Sodio (mg)	Evidencia			
a	8/15/2022	8:30	Cafe	6	1	0	0.42	2.28				
a	8/15/2022	8:30	Brocoli	2.4	1.8	0	3	10				
a	8/15/2022	8:30	Huevo	211	0.34	4.8	6.4	0.36				
a	8/15/2022	8:30	Claras	52	0.3	0	3.5	166				
a	8/15/2022	8:30	Tostadas	186	74.04	4.29	8.6	278.32				
a	8/15/2022	8:30	Queso panela	20	2.25	10.5	9	265.5				
a	8/15/2022	11:00	Rice cakes	66	30.2	0.1	3	1.2				
a	8/15/2022	11:00	Crema de cacahuate	294	15	50	22	470				
a	8/15/2022	12:00	Proteina	120	0	0	30	145				
a	8/15/2022	14:00	Lechuga	15	3	0	1	28				
a	8/15/2022	14:00	Nueces	295	195	0	1	1				
a	8/15/2022	14:00	Carne	271	0	19	25	58				
a	8/15/2022	14:00	Aceite	820	0	91	0	0				
a	8/15/2022	14:00	Champinones	28	4	1	3	30				
a	8/15/2022	14:00	Tortilla	170.58	34.22	1.98	3.97	14.58				
a	8/15/2022	16:00	Jicama	38	9	0	1	4				
a	8/15/2022	18:00	Fresas	28	7	0	0	0				
a	8/15/2022	18:00	Cacahuates	284	2.3	15.1	7.9	5				
a	8/15/2022	21:00	Sardinas	192	0.1	11.2	22.7	171				
a	8/15/2022	21:00	Atun	93	0	1	21	260				
a	8/15/2022	21:00	Tortilla	170.58	34.22	1.98	3.97	14.58				
b	8/16/2022	6:00	Gordita	117	22	2	3	32				
b	8/16/2022	8:30	Atun	93	0	1	21	260				
b	8/16/2022	8:30	Tortilla	170.58	34.22	1.98	3.97	14.58				
b	8/16/2022	8:30	Queso panela	20	2.25	10.5	9	265.5				
b	8/16/2022	8:30	Brocoli	2.4	1.8	0	3	10				
b	8/16/2022	11:00	Huevo	211	0.34	4.8	6.4	0.36				
b	8/16/2022	11:00	Yogurt	54.8	9.7	0	4	66.4				
b	8/16/2022	11:00	Nueces	195	195	0	1	1				
b	8/16/2022	14:30	Sopa de verduras	49	7	0	2	52				
b	8/16/2022	14:30	Carne	271	0	19	25	58				
b	8/16/2022	14:30	Tortilla	170.58	34.22	1.98	3.97	14.58				
b	8/16/2022	14:30	Frijoles	161	15	1	11	0				
b	8/16/2022	18:00	Fresas	28	7	0	0	0				
b	8/16/2022	18:00	Cacahuates	284	2.3	15.1	7.9	5				
b	8/16/2022	21:30	Atun	170	93	0	1	21				
b	8/16/2022	21:30	Jicama	38	9	0	1	4				
b	8/16/2022	21:30	Pepino	32	16	0	1	3				
b	8/16/2022	21:30	Piña	50	13	0	1	1				
b	8/16/2022	21:30	Queso panela	20	2.25	10.5	9	265.5				
b	8/16/2022	21:30	Tostadas	186	74.04	4.29	8.6	278.32				
c	8/17/2022	6:00	Pina	50	13	0	1	1				
c	8/17/2022	8:30	Huevo	211	0.34	4.8	6.4	0.36				
c	8/17/2022	8:30	Claras	52	0.3	0	3.5	166				
c	8/17/2022	8:30	Tostadas	186	74.04	4.29	8.6	278.32				
c	8/17/2022	8:30	Jicama	38	9	0	1	4				
c	8/17/2022	7:00	Cafe	6	1	0	0.42	2.28				
c	8/17/2022	8:30	Bolillo	183	39	5	5.7	341.3				
c	8/17/2022	8:30	Frijoles	161	15	1	11	0				
c	8/17/2022	8:30	Chilaquiles	443	32	32	10	0				
c	8/17/2022	8:30	Jicama	38	9	0	1	4				
c	8/17/2022	11:00	Rice cakes	66	30.2	0.1	3	1.2				
c	8/17/2022	14:00	Sopa de verduras	49	7	0	2	52				
c	8/17/2022	14:00	Carne	271	0	19	25	58				
c	8/17/2022	14:00	Tortillas	170.58	34.22	1.98	3.97	14.58				
c	8/17/2022	14:00	Lechuga	15	3	0	1	28				
c	8/17/2022	14:00	Nueces	195	195	0	1	1				
c	8/17/2022	16:40	Cacahuates	284	2.3	15.1	7.9	5				
c	8/17/2022	18:15	Gelatina	92	18	0	5	129				
c	8/17/2022	19:30	Jicama	38	9	0	1	4				
c	8/17/2022	21:10	Elote	265	66	25	10	6				
c	8/17/2022	21:10	Chayote	19	4.5	0.3	1	2				
c	8/17/2022	21:10	Brocoli	2.4	1.8	0	3	10				
d	8/18/2022	6:00	Pina	50	13	0	1	1				
d	8/18/2022	6:00	Yogurt	54.8	9.7	0	4	66.4				
d	8/18/2022	8:30	Cafe	6	1	0	0.42	2.28				
d	8/18/2022	8:30	Huevo	211	0.34	4.8	6.4	0.36				
d	8/18/2022	8:30	Tostadas	186	74.04	4.29	8.6	278.32				
d	8/18/2022	8:30	Jicama	38	9	0	1	4				
d	8/18/2022	11:00	Rice cakes	66	30.2	0.1	3	1.2				
d	8/18/2022	11:00	Crema de cacahuate	294	15	50	22	470				
d	8/18/2022	12:30	Proteina	120	0	0	30	145				
d	8/18/2022	14:30	Lechuga	15	3	0	1	28				
d	8/18/2022	14:30	Carne	271	0	19	25	58				
d	8/18/2022	14:30	Tortillas	170.58	34.22	1.98	3.97	14.58				
d	8/18/2022	14:30	Cacahuates	284	2.3	15.1	7.9	5				
d	8/18/2022	15:00	Melón verde	36	10	0	1	16				
d	8/18/2022	18:00	Ciruelas pasas	203	43	1	2	0				
d	8/18/2022	21:00	Atun	170	93	0	1	21				
d	8/18/2022	21:00	Rice cakes	66	30.2	0.1	3	1.2				
d	8/18/2022	21:00	Lechuga	15	3	0	1	28				
e	8/19/2022	7:00	Ciruelas pasas	203	43	1	2	0				
e	8/19/2022	7:00	Platano	105	27	0	1	0				
e	8/19/2022	7:00	Avena	90	16	2	3	1				
e	8/19/2022	8:20	Huevo	211	0.34	4.8	6.4	0.36				
e	8/19/2022	8:20	Frijoles	161	15	1	11	0				
e	8/19/2022	8:20	Tostadas	186	74.04	4.29	8.6	278.32				
e	8/19/2022	8:20	Cafe	6	1	0	0.42	2.28				
e	8/19/2022	8:20	Chocolatin	160	17	9	3	137				
e	8/19/2022	12:30	Proteina	120	0	0	30	145				
e	8/19/2022	13:00	Jicama	38	9	0	1	4				
e	8/19/2022	15:00	Sushi	423	53	18	17	0				
e	8/19/2022	16:00	Gelatina	92	18	0	5	129				
e	8/19/2022	20:20	Gelatina	92	18	0	5	129				
f			Huevo	211	0.34	4.8	6.4	0.36				
f			Nopales	16	3	0	1	20				
f			Jamon	106	3	6	10	20				
f			Frijoles	161	15	1	11	0				
f			Tortillas	170.58	34.22	1.98	3.97	14.58				
f			Fresas	28	7	0	0	0				
f			Espinaca	128	7	4	13	20				
f			Apio	22	4	0	9	50				
f			Pollo	328	4	9	60	20				
f			Arroz	180	43	0	3	0				
f			Chayote	19	4.5	0.3	1	2				
f			Cafe	6	1	0	0.42	2.28				
f			Tostadas	186	74.04	4.29	8.6	278.32				
f			Carne	271	0	19	25	58				
f			Sopa de verduras	49	7	0	2	52				
f			Tostadas	186	74.04	4.29	8.6	278.32				
f			Rice cakes	66	30.2	0.1	3	1.2				
f			Crema de cacahuate	294	15	50	22	470				
f			Proteina	120	0	0	30	145				
f			Gelatina	92	18	0	5	129				
f			Yogurt	54.8	9.7	0	4	66.4				
f			Nueces	295	195	0	1	1				
f			Almendras	58	2	5	2	0				
f			Tortillas	170.58	34.22	1.98	3.97	14.58				
f			Queso panela	20	2.25	10.5	9	265.5				
g			Chilaquiles	443	32	32	10	0				
g			Frijoles	161	15	1	11	0				
g			Brocoli	2.4	1.8	0	3	10				
g			Cafe	6	1	0	0.42	2.28				
g			Lechuga	15	3	0	1	28				
g			Nueces	295	195	0	1	1				
g			Aceite	820	0	91	0	0				
g			Pollo	328	4	9	60	20				
g			Manzana	104	28	0	1	2				
g			Yogurt	54.8	9.7	0	4	66.4				
g			Fresas	28	7	0	0	0				
g			Arandanos	113	24	1	1	107				
g			Chocolate	83	0	7	0	1				
g			Sardinas	192	0.1	11.2	22.7	171				
g			Tostadas	186	74.04	4.29	8.6	278.32				
h			Huevo	211	0.34	4.8	6.4	0.36				
h			Claras	52	0.3	0	3.5	166				
h			Espinaca	128	7	4	13	20				
h			Jamon	106	3	6	10	20				
h			Jitomate	20	4	0	1	7				
h			Cebolla	6	1	0	0	1				
h			Tortilla	170.58	34.22	1.98	3.97	14.58				
h			Queso panela	20	2.25	10.5	9	265.5				
h			Jicama	38	9	0	1	4				
h			Calabacin	17	3	0	12	8				
h			Carne	271	0	19	25	58				
h			Tostadas	186	74.04	4.29	8.6	278.32				
h			Pepino	32	16	0	1	3				
h			Proteina	120	0	0	30	145				
h			Fresas	28	7	0	0	0				
h			Platano	105	27	0	1	0				
h			Leche	130	10	7	6	130				
i			Cafe	6	1	0	0.42	2.28				
i			Pan	255	56	1	7	500				
i			Queso	300	1	24	20	842				
i			Jitomate	20	4	0	1	7				
i			Jamon	106	3	6	10	20				
i			Espinaca	128	7	4	13	20				
i			Jugo verde	80	16	1	1	45				
i			Sopa de verduras	49	7	0	2	52				
i			Arroz	180	43	0	3	0				
